Code,Devanagari,Comments,Official Name,IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique  to ITRANS  ,,,
N,महावतार बाबाजी,guru of Lahiri Mahasaya,Mahāvatāra Bābājī,Mahavatara Babaji,,,mahAvatAra bAbAjI,mahavatars,,,,,,mahaavataara baabaajii,,,
,,[of Salt Spring Center],Mahavir,,,,,,,,,,,,,,
N,महावूर,"aka Vardhamāna, founder of the Jaina religion",Mahāvīra,Mahavira,,,mahAvIra,,,,,,,mahaaviira,,,
N,महेन्द्र ब्रह्मचर्य,a sadhu who researched the stories and identities of Hariakhan Baba and Babaji Maharaj for 30 years and found them to be the same,Mahendra Brahmacarya,,,,,mahendra,,,,,,,,,
N,मैत्रेयी,a female Indian philosopher during the later Vedic period,Maitreyī,Maitreyi,,,maitreyI,,,,,,,maitreyii,,,
N,,,Malraux,,,,,,,,,,,,,,
N,,,Mandelshtam,,,,,,,,,,,,,,
N,,,Mandira Marianne Haynes,,,,,marianne,haynes,mandira,,,,,,,
N,,,Manīṣā,Manisa,Manīṣhā,Manisha,manISA,,,,,,,manIShA,maniiShaa,,
N,,,Mañjula,Manjula,,,maJjula,,,,,,,ma~njula,,,
N,,,Manjula Stokes,,,,,,,,,,,,,,
N,,,Manjula Huskey,,,,,,,,,,,,,,
N,,"was Manorama Lazar, then she remarried (before 1997)",Manorama,,,,,,,,,,,,,,
N,,mentioned by Baba Hari Dass 11-29-81 along with Mahaprabhu and Kabirdas [unable to verify spelling],Manpuri Baba,,,,,manpuri,,,,,,,,,
N,मार्कण्डेय,a sage in ancient India referred to in the Mārkaṇḍeya Purāṇa,Mārkaṇḍeya,Markandeya,,,mArkaNDeya,,,,,,,maarkaNDeya,,,
N,,"Note:  Marpa Lotsāwa, Tibetan Buddhist teacher credited with the transmission of many Buddhist teachings to Tibet from India",Marpa,,,,,,,,,,,,,,
N,,,Martin Luther King,,,,,luther,,,,,,,,,
N,,(approved),Mary Catherine Kunz (MC),,,,,mc,,,,,,,,,
N,,,Maslow,,,,,,,,,,,,,,
